GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Obras-Java,AGOS.AGOS.config,ModelMapperConfig,7,0,0,0,2,0,2,0,2,0
Obras-Java,AGOS.AGOS.config,WebConfig,29,0,0,0,6,0,2,0,2,0
Obras-Java,AGOS.AGOS.dto,EmpresaDTO,4,20,0,0,0,4,1,6,1,6
Obras-Java,AGOS.AGOS.dto,ObraDTO,14,108,0,0,2,17,4,31,4,31
Obras-Java,AGOS.AGOS.dto,PeriodoDTO,148,0,24,0,5,0,23,0,11,0
Obras-Java,AGOS.AGOS.dto,ItemDTO,196,0,32,0,7,0,30,0,14,0
Obras-Java,AGOS.AGOS.dto,ValorDTO,342,0,62,0,9,0,50,0,19,0
Obras-Java,AGOS.AGOS,ObrasJavaApplication,8,0,0,0,3,0,2,0,2,0
Obras-Java,AGOS.AGOS.services,EnvioService,56,0,0,0,14,0,5,0,5,0
Obras-Java,AGOS.AGOS.services,EmpresaService,17,77,2,2,1,22,3,8,1,8
Obras-Java,AGOS.AGOS.services,DocumentoService,72,0,12,0,19,0,12,0,6,0
Obras-Java,AGOS.AGOS.services,ObraService,88,200,3,1,17,54,4,8,2,8
Obras-Java,AGOS.AGOS.services,ArquivoService,72,0,12,0,19,0,12,0,6,0
Obras-Java,AGOS.AGOS.services,ValorService,154,0,8,0,30,0,15,0,11,0
Obras-Java,AGOS.AGOS.services,ItemService,209,0,16,0,45,0,19,0,11,0
Obras-Java,AGOS.AGOS.services,PeriodoService,67,0,4,0,16,0,8,0,6,0
Obras-Java,AGOS.AGOS.services,UsuarioService,602,0,122,0,133,0,67,0,6,0
Obras-Java,AGOS.AGOS.entity,Documento,32,0,0,0,5,0,8,0,8,0
Obras-Java,AGOS.AGOS.entity,Obra,66,63,0,0,18,2,21,16,21,16
Obras-Java,AGOS.AGOS.entity,Usuario,83,0,0,0,13,0,24,0,24,0
Obras-Java,AGOS.AGOS.entity,Meses,75,0,0,0,2,0,1,0,1,0
Obras-Java,AGOS.AGOS.entity,TipoObra,0,21,0,0,0,2,0,1,0,1
Obras-Java,AGOS.AGOS.entity,Item,31,0,0,0,5,0,9,0,9,0
Obras-Java,AGOS.AGOS.entity,Valor,48,0,0,0,8,0,14,0,14,0
Obras-Java,AGOS.AGOS.entity,Periodo,20,0,0,0,4,0,6,0,6,0
Obras-Java,AGOS.AGOS.entity,Arquivo,27,0,0,0,5,0,8,0,8,0
Obras-Java,AGOS.AGOS.entity,Empresa,0,24,0,0,0,5,0,7,0,7
Obras-Java,AGOS.AGOS.entity,GrupoProjeto,21,0,0,0,2,0,1,0,1,0
Obras-Java,AGOS.AGOS.entity,Situacao,0,27,0,0,0,5,0,1,0,1
Obras-Java,AGOS.AGOS.entity,Envio,34,0,0,0,6,0,10,0,10,0
Obras-Java,AGOS.AGOS.controller,EmpresaController,6,54,0,0,2,15,0,6,0,6
Obras-Java,AGOS.AGOS.controller,ArquivoController,83,0,0,0,21,0,6,0,6,0
Obras-Java,AGOS.AGOS.controller,DocumentoController,83,0,0,0,21,0,6,0,6,0
Obras-Java,AGOS.AGOS.controller,ValorController,62,0,0,0,17,0,5,0,5,0
Obras-Java,AGOS.AGOS.controller,UsuarioController,58,0,0,0,17,0,6,0,6,0
Obras-Java,AGOS.AGOS.controller,ObraController,25,63,0,4,6,16,0,8,0,6
Obras-Java,AGOS.AGOS.controller,ItemController,62,0,0,0,17,0,5,0,5,0
Obras-Java,AGOS.AGOS.controller,PeriodoController,63,0,0,0,17,0,5,0,5,0
Obras-Java,AGOS.AGOS.controller,EnvioController,51,0,0,0,15,0,5,0,5,0
